eei_id,exon1,exon2,p_value,chi2_statistic,odds_ratio,cachexic_with_eei,cachexic_without_eei,control_with_eei,control_without_eei,total_samples,corrected_p,significant
ENSMUSE00000425391_ENSMUSE00000212131,ENSMUSE00000425391,ENSMUSE00000212131,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425391_ENSMUSE00000483638,ENSMUSE00000425391,ENSMUSE00000483638,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425391_ENSMUSE00000497229,ENSMUSE00000425391,ENSMUSE00000497229,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425391_ENSMUSE00000900268,ENSMUSE00000425391,ENSMUSE00000900268,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425384_ENSMUSE00000469392,ENSMUSE00000425384,ENSMUSE00000469392,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425384_ENSMUSE00000212134,ENSMUSE00000425384,ENSMUSE00000212134,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425384_ENSMUSE00000212132,ENSMUSE00000425384,ENSMUSE00000212132,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425384_ENSMUSE00000212136,ENSMUSE00000425384,ENSMUSE00000212136,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425384_ENSMUSE00000212131,ENSMUSE00000425384,ENSMUSE00000212131,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425384_ENSMUSE00000483638,ENSMUSE00000425384,ENSMUSE00000483638,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425384_ENSMUSE00000497229,ENSMUSE00000425384,ENSMUSE00000497229,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425384_ENSMUSE00000900268,ENSMUSE00000425384,ENSMUSE00000900268,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425380_ENSMUSE00000469392,ENSMUSE00000425380,ENSMUSE00000469392,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425380_ENSMUSE00000212134,ENSMUSE00000425380,ENSMUSE00000212134,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425380_ENSMUSE00000212132,ENSMUSE00000425380,ENSMUSE00000212132,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425380_ENSMUSE00000212136,ENSMUSE00000425380,ENSMUSE00000212136,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425380_ENSMUSE00000212131,ENSMUSE00000425380,ENSMUSE00000212131,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425380_ENSMUSE00000483638,ENSMUSE00000425380,ENSMUSE00000483638,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425380_ENSMUSE00000497229,ENSMUSE00000425380,ENSMUSE00000497229,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000425380_ENSMUSE00000900268,ENSMUSE00000425380,ENSMUSE00000900268,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000519208_ENSMUSE00000469392,ENSMUSE00000519208,ENSMUSE00000469392,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000519208_ENSMUSE00000212134,ENSMUSE00000519208,ENSMUSE00000212134,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000519208_ENSMUSE00000212132,ENSMUSE00000519208,ENSMUSE00000212132,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000519208_ENSMUSE00000212136,ENSMUSE00000519208,ENSMUSE00000212136,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000519208_ENSMUSE00000212131,ENSMUSE00000519208,ENSMUSE00000212131,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000519208_ENSMUSE00000483638,ENSMUSE00000519208,ENSMUSE00000483638,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000519208_ENSMUSE00000497229,ENSMUSE00000519208,ENSMUSE00000497229,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00000519208_ENSMUSE00000900268,ENSMUSE00000519208,ENSMUSE00000900268,1.0,0.0,0.7142857142857143,2,7,4,10,23,1.0,False
ENSMUSE00001299623_ENSMUSE00000214461,ENSMUSE00001299623,ENSMUSE00000214461,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00001299623_ENSMUSE00000214457,ENSMUSE00001299623,ENSMUSE00000214457,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00001299623_ENSMUSE00000214463,ENSMUSE00001299623,ENSMUSE00000214463,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00001299623_ENSMUSE00000225660,ENSMUSE00001299623,ENSMUSE00000225660,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00001299623_ENSMUSE00000413165,ENSMUSE00001299623,ENSMUSE00000413165,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00001299623_ENSMUSE00001257237,ENSMUSE00001299623,ENSMUSE00001257237,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00001299623_ENSMUSE00001236037,ENSMUSE00001299623,ENSMUSE00001236037,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00001299623_ENSMUSE00001245114,ENSMUSE00001299623,ENSMUSE00001245114,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00001299623_ENSMUSE00000162380,ENSMUSE00001299623,ENSMUSE00000162380,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00001299623_ENSMUSE00000253746,ENSMUSE00001299623,ENSMUSE00000253746,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00000661400_ENSMUSE00001269203,ENSMUSE00000661400,ENSMUSE00001269203,0.3710754793234742,0.8000598387503148,0.2857142857142857,2,7,7,7,23,1.0,False
ENSMUSE00000661400_ENSMUSE00001226805,ENSMUSE00000661400,ENSMUSE00001226805,0.3710754793234742,0.8000598387503148,0.2857142857142857,2,7,7,7,23,1.0,False
ENSMUSE00000661400_ENSMUSE00001245399,ENSMUSE00000661400,ENSMUSE00001245399,0.3710754793234742,0.8000598387503148,0.2857142857142857,2,7,7,7,23,1.0,False
ENSMUSE00000661400_ENSMUSE00000214461,ENSMUSE00000661400,ENSMUSE00000214461,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00000661400_ENSMUSE00000214457,ENSMUSE00000661400,ENSMUSE00000214457,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00000661400_ENSMUSE00000214463,ENSMUSE00000661400,ENSMUSE00000214463,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00000661400_ENSMUSE00000225660,ENSMUSE00000661400,ENSMUSE00000225660,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00000661400_ENSMUSE00000413165,ENSMUSE00000661400,ENSMUSE00000413165,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00000661400_ENSMUSE00001257237,ENSMUSE00000661400,ENSMUSE00001257237,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00000661400_ENSMUSE00001236037,ENSMUSE00000661400,ENSMUSE00001236037,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00000661400_ENSMUSE00001245114,ENSMUSE00000661400,ENSMUSE00001245114,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00000661400_ENSMUSE00000162380,ENSMUSE00000661400,ENSMUSE00000162380,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00000661400_ENSMUSE00000253746,ENSMUSE00000661400,ENSMUSE00000253746,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00000661399_ENSMUSE00000214461,ENSMUSE00000661399,ENSMUSE00000214461,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00000661399_ENSMUSE00000214457,ENSMUSE00000661399,ENSMUSE00000214457,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00000661399_ENSMUSE00000214463,ENSMUSE00000661399,ENSMUSE00000214463,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00000661399_ENSMUSE00000225660,ENSMUSE00000661399,ENSMUSE00000225660,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00000661399_ENSMUSE00000413165,ENSMUSE00000661399,ENSMUSE00000413165,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00000661399_ENSMUSE00001257237,ENSMUSE00000661399,ENSMUSE00001257237,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00000661399_ENSMUSE00001236037,ENSMUSE00000661399,ENSMUSE00001236037,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
