ENSE00000847702,ENSE00003499459
ENSE00003539446,ENSE00000829755
ENSE00003534695,ENSE00003892253
ENSE00003636350,ENSE00003480940
ENSE00003636350,ENSE00001275591
ENSE00003601249,ENSE00003498310
ENSE00003601249,ENSE00003465513
ENSE00003601249,ENSE00003591656
ENSE00003601249,ENSE00003544242
ENSE00003601880,ENSE00003558957
ENSE00003601880,ENSE00003524211
ENSE00003530538,ENSE00003558957
ENSE00003530538,ENSE00003524211
ENSE00001154752,ENSE00003558957
ENSE00003644420,ENSE00003468875
ENSE00001952407,ENSE00003644420
ENSE00003499936,ENSE00003524211
ENSE00003499936,ENSE00001228743
ENSE00003586155,ENSE00003623868
ENSE00001021507,ENSE00003461155
ENSE00003599369,ENSE00003673348
ENSE00003599369,ENSE00003602298
ENSE00003617665,ENSE00003602298
ENSE00001100130,ENSE00003692077
ENSE00000806188,ENSE00000663646
ENSE00000806188,ENSE00000663647
ENSE00000953172,ENSE00003888878
ENSE00001019499,ENSE00001079965
ENSE00003630242,ENSE00001116117
ENSE00003548419,ENSE00001116117
ENSE00001236802,ENSE00003627601
ENSE00001236802,ENSE00003684334
ENSE00001236802,ENSE00000873150
ENSE00003596728,ENSE00003540066
ENSE00001074417,ENSE00001530862
ENSE00003513281,ENSE00003579131
ENSE00000968152,ENSE00001228743
ENSE00001947589,ENSE00003651838
ENSE00001947589,ENSE00003493821
ENSE00002376570,ENSE00001141657
ENSE00003680020,ENSE00003494733
ENSE00003547166,ENSE00003374776
ENSE00003547166,ENSE00001447838
ENSE00003629897,ENSE00003627294
ENSE00001311927,ENSE00003627294
ENSE00001220106,ENSE00003627294
ENSE00001299855,ENSE00002466179
ENSE00001299623,ENSE00002466179
ENSE00003653728,ENSE00003647782
ENSE00003653728,ENSE00003818668
ENSE00003683780,ENSE00001447838
ENSE00003508529,ENSE00003374776
ENSE00003508529,ENSE00001447838
ENSE00001462031,ENSE00000721654
ENSE00003657913,ENSE00001529814
ENSE00003657913,ENSE00003495891
ENSE00003657913,ENSE00003493083
ENSE00003657913,ENSE00003688273
ENSE00003657913,ENSE00000860117
ENSE00003657913,ENSE00003499459
ENSE00003657913,ENSE00002616834
ENSE00003657913,ENSE00003481730
ENSE00003558300,ENSE00003791319
ENSE00003558300,ENSE00003711341
ENSE00003558300,ENSE00003703630
ENSE00003558300,ENSE00001073874
ENSE00001349739,ENSE00001162678
ENSE00003664300,ENSE00003643246
ENSE00003620177,ENSE00003575107
ENSE00003620177,ENSE00003623099
ENSE00003620177,ENSE00003627294
ENSE00003620177,ENSE00001456702
ENSE00003490468,ENSE00000680322
ENSE00001071851,ENSE00003562403
ENSE00001071851,ENSE00002710928
ENSE00001071851,ENSE00002129955
ENSE00001521926,ENSE00003654018
ENSE00001521926,ENSE00002571628
ENSE00001339905,ENSE00003678736
ENSE00001481101,ENSE00003650233
ENSE00003594102,ENSE00001532206
ENSE00003594102,ENSE00003673177
ENSE00003594102,ENSE00001816188
ENSE00001093723,ENSE00001532206
ENSE00001093723,ENSE00003673177
ENSE00001093723,ENSE00001816188
ENSE00003581973,ENSE00001054508
ENSE00003531059,ENSE00001488912
ENSE00003526773,ENSE00001532206
ENSE00003526773,ENSE00003673177
ENSE00003526773,ENSE00001816188
ENSE00003666493,ENSE00001532206
ENSE00003666493,ENSE00003673177
ENSE00003666493,ENSE00001816188
ENSE00001116850,ENSE00003646207
ENSE00001116850,ENSE00003568561
ENSE00001116850,ENSE00003531802
ENSE00001116851,ENSE00003646207
ENSE00001116851,ENSE00003568561
ENSE00001116851,ENSE00003531802
ENSE00003805760,ENSE00003650233
ENSE00003553163,ENSE00003494733
ENSE00003553163,ENSE00001757901
ENSE00003804729,ENSE00003650233
ENSE00003801365,ENSE00003650233
ENSE00003804214,ENSE00003650233
ENSE00003804713,ENSE00003650233
ENSE00003803149,ENSE00003650233
ENSE00003806593,ENSE00003650233
ENSE00003809256,ENSE00003650233
ENSE00003481060,ENSE00003674716
ENSE00000911635,ENSE00000863191
ENSE00003633761,ENSE00003789798
ENSE00003633761,ENSE00003474104
ENSE00003633761,ENSE00001098089
ENSE00003633761,ENSE00001098085
ENSE00003633761,ENSE00003565119
ENSE00003633761,ENSE00003671906
ENSE00003633761,ENSE00003665701
ENSE00003633761,ENSE00003606661
ENSE00003633761,ENSE00003554374
ENSE00003552487,ENSE00001532206
ENSE00003552487,ENSE00003673177
ENSE00003552487,ENSE00001816188
ENSE00003636730,ENSE00003638746
ENSE00003636730,ENSE00003465930
ENSE00003636730,ENSE00001900622
ENSE00003636730,ENSE00001484819
ENSE00003636730,ENSE00000927963
ENSE00001073317,ENSE00003568333
ENSE00001073317,ENSE00003562403
ENSE00001073317,ENSE00003553527
ENSE00001073317,ENSE00001484561
ENSE00003597756,ENSE00000861265
ENSE00003597756,ENSE00003548320
ENSE00003597756,ENSE00001181017
ENSE00003597756,ENSE00000858713
ENSE00003597756,ENSE00001484561
ENSE00003597756,ENSE00003734455
ENSE00003597756,ENSE00001073317
ENSE00003491091,ENSE00003548320
ENSE00003491091,ENSE00001073317
ENSE00003623471,ENSE00003629022
ENSE00003640336,ENSE00001116117
ENSE00003640336,ENSE00001116108
ENSE00003558990,ENSE00003902792
ENSE00003558990,ENSE00003640336
ENSE00003579419,ENSE00001029391
ENSE00003579419,ENSE00001029402
ENSE00003579419,ENSE00003477142
ENSE00003471051,ENSE00001532206
ENSE00003471051,ENSE00003673177
ENSE00003471051,ENSE00001816188
ENSE00001537488,ENSE00003548320
ENSE00001537488,ENSE00001073317
